id,consumption_date,stand_i,stand_ii,gas
1,2018-10-29 19:30:00.000000,42039,40723,36653.068
2,2018-10-30 07:30:00.000000,42040,40726,36657.3
3,2018-10-30 19:30:00.000000,42040,40731,36659.929
4,2018-10-31 07:30:00.000000,42042,40733,36661.603
5,2018-10-31 19:30:00.000000,42042,40738,36663.55
6,2018-11-01 07:30:00.000000,42044,40740,36665.9
7,2018-11-01 19:30:00.000000,42044,40747,36666
8,2018-11-02 07:30:00.000000,42045,40752,36668.1
9,2018-11-02 19:30:00.000000,42045,40752,36668.1
10,2018-11-03 07:30:00.000000,42046,40754,36668.76
11,2018-11-03 19:30:00.000000,42054,40754,36670.013
12,2018-11-04 07:53:00.000000,42058,40754,36671.213
13,2018-11-04 19:25:00.000000,42066,40754,36672.131
14,2018-11-05 07:30:00.000000,42069,40754,36672.882
15,2018-11-05 19:33:00.000000,42069,40758,36675.145
16,2018-11-06 07:30:00.000000,42070,40761,36676.587
17,2018-11-07 07:30:00.000000,42071,40767,36680.224
18,2018-11-08 07:30:00.000000,42073,40772,36681.83
19,2018-11-09 07:30:00.000000,42077,40777,36682.73
20,2018-11-10 07:30:00.000000,42078,40785,36684.183
21,2018-11-11 07:30:00.000000,42088,40785,36685.765
22,2018-11-12 07:30:00.000000,42098,40785,36688.431
23,2018-11-13 07:30:00.000000,42100,40792,36691.395
24,2018-11-14 07:30:00.000000,42101,40799,36694.16
25,2018-11-15 07:30:00.000000,42103,40809,36696.937
26,2018-11-16 07:30:00.000000,42105,40814,36700.298
27,2018-11-17 07:30:00.000000,42109,40823,36705.5
28,2018-11-18 07:30:00.000000,42117,40823,36709.51
29,2018-11-19 07:30:00.000000,42130,40823,36714
30,2018-11-20 07:30:00.000000,42131,40832,36723
31,2018-11-21 07:30:00.000000,42132,40838,36726.738
32,2018-11-22 07:30:00.000000,42134,40846,36733.1
33,2018-11-23 07:30:00.000000,42135,40853,36740.678
34,2018-11-24 07:30:00.000000,42137,40860,36746.361
35,2018-11-25 07:30:00.000000,42148,40860,36749.28
36,2018-11-26 07:30:00.000000,42159,40861,36754
37,2018-11-27 07:30:00.000000,42161,40867,36760.185
38,2018-11-28 07:30:00.000000,42162,40875,36764
39,2018-11-29 07:30:00.000000,42163,40882,36768.5
40,2018-11-30 07:30:00.000000,42164,40892,36771.227
41,2018-12-01 07:30:00.000000,42164,40892,36774.227
42,2018-12-02 07:30:00.000000,42178,40897,36777.75
43,2018-12-03 07:30:00.000000,42191,40897,36778.56
44,2018-12-04 07:30:00.000000,42192,40902,36780.525
45,2018-12-05 07:30:00.000000,42194,40908,36781.82
46,2018-12-06 07:30:00.000000,42198,40916,36785.25
47,2018-12-07 07:30:00.000000,42200,40921,36789.977
48,2018-12-08 07:30:00.000000,42202,40928,36793.729
49,2018-12-09 07:30:00.000000,42210,40928,36796.45
50,2018-12-10 07:30:00.000000,42221,40928,36797.18
51,2018-12-11 07:30:00.000000,42222,40934,36799.508
52,2018-12-12 07:30:00.000000,42223,40942,36803.805
53,2018-12-13 07:30:00.000000,42226,40948,36808.174
54,2018-12-14 07:30:00.000000,42227,40952,36812.855
55,2018-12-15 07:30:00.000000,42233,40962,36817.772
56,2018-12-16 07:30:00.000000,42242,40962,36823.225
57,2018-12-17 07:30:00.000000,42253,40962,36828.314
58,2018-12-18 07:30:00.000000,42254,40969,36832.191
59,2018-12-19 07:30:00.000000,42255,40977,36837.608
60,2018-12-20 07:30:00.000000,42258,40985,36839.014
61,2018-12-21 07:30:00.000000,42259,40995,36842.57
62,2018-12-22 07:30:00.000000,42260,41002,36845.518
63,2018-12-23 08:15:00.000000,42270,41002,36847.96
64,2018-12-24 07:45:00.000000,42282,41002,36849.325
65,2018-12-25 08:45:00.000000,42284,41007,36852.765
66,2018-12-26 08:45:00.000000,42294,41007,36855.95
67,2018-12-27 08:00:00.000000,42304,41007,36859
68,2018-12-28 07:30:00.000000,42306,41016,36864.395
69,2018-12-29 07:30:00.000000,42307,41024,36867.393
70,2018-12-30 07:30:00.000000,42320,41024,36868.235
71,2018-12-31 07:30:00.000000,42330,41024,36869.015
72,2019-01-01 08:15:00.000000,42332,41034,36871.264
73,2019-01-02 07:45:00.000000,42343,41034,36873.664
74,2019-01-03 07:45:00.000000,42345,41040,36877.612
75,2019-01-04 08:00:00.000000,42346,41047,36882.224
76,2019-01-06 06:00:00.000000,42358,41054,36888.295
77,2019-01-07 07:30:00.000000,42370,41054,36891.972
78,2019-01-08 07:30:00.000000,42371,41061,36895.178
79,2019-01-09 07:30:00.000000,42373,41070,36901.838
80,2019-01-10 07:30:00.000000,42374,41078,36903.945
81,2019-01-11 07:30:00.000000,42375,41085,36907.605
82,2019-01-12 07:30:00.000000,42376,41092,36909.465
83,2019-01-13 07:30:00.000000,42385,41092,36913.935
84,2019-01-14 07:30:00.000000,42399,41092,36917.385
85,2019-01-15 07:30:00.000000,42400,41097,36920.151
86,2019-01-16 07:30:00.000000,42402,41104,36924.322
87,2019-01-17 07:30:00.000000,42403,41112,36925.918
88,2019-01-18 07:30:00.000000,42405,41119,36929.302
89,2019-01-19 08:30:00.000000,42407,41126,36932.687
90,2019-01-20 08:15:00.000000,42418,41126,36938.295
91,2019-01-21 07:30:00.000000,42430,41126,36940.43
92,2019-01-22 07:30:00.000000,42432,41132,36944.381
93,2019-01-23 07:30:00.000000,42433,41141,36952.142
94,2019-01-24 07:30:00.000000,42435,41147,36959.038
95,2019-01-25 07:30:00.000000,42436,41156,36964.555
96,2019-01-26 07:30:00.000000,42438,41162,36970.579
97,2019-01-27 07:30:00.000000,42447,41162,36972.355
98,2019-01-28 07:30:00.000000,42457,41162,36974.395
99,2019-01-30 07:30:00.000000,42462,41176,36984.926
100,2019-01-31 07:30:00.000000,42464,41184,36989.058
101,2019-02-01 07:30:00.000000,42465,41193,36993.867
102,2019-02-02 07:30:00.000000,42467,41199,37000.82
103,2019-02-03 09:00:00.000000,42479,41199,37004.134
104,2019-02-04 09:00:00.000000,42486,41199,37007.411
105,2019-02-05 10:00:00.000000,42487,41204,37012.278
106,2019-02-06 08:30:00.000000,42488,41210,37015.254
107,2019-02-07 07:30:00.000000,42490,41218,37019.675
108,2019-02-08 09:42:00.000000,42492,41224,37022.162
