id,consumption_date,stand_i,stand_ii,gas
21163,2023-12-01 12:00:00.000000,48454,52194,39468.804
21164,2023-12-02 10:00:00.000000,48454,52205,39470.184
21165,2023-12-03 10:00:00.000000,48454,52223,39471.604
21166,2023-12-04 10:45:00.000000,48454,52239,39473.966
21167,2023-12-04 16:45:00.000000,48454,52241,39474.437
21168,2023-12-05 11:00:00.000000,48454,52249,39477.437
21169,2023-12-06 00:00:00.000000,48454,52249,39477.437
21170,2023-12-07 00:00:00.000000,48454,52249,39477.437
21171,2023-12-08 10:08:00.000000,48454,52294,39483.328
21172,2023-12-09 10:20:00.000000,48454,52312,39485.688
21173,2023-12-10 10:30:00.000000,48454,52324,39488.083
21174,2023-12-11 00:00:00.000000,48454,52324,39488.083
21175,2023-12-12 00:00:00.000000,48454,52324,39488.083
21176,2023-12-13 11:37:00.000000,48454,52375,39491.477
21177,2023-12-14 00:00:00.000000,48454,52375,39491.477
21178,2023-12-15 00:00:00.000000,48454,52375,39491.477
21179,2023-12-16 10:30:00.000000,48454,52420,39494.223
21180,2023-12-17 11:10:00.000000,48454,52437,39494.651
21181,2023-12-18 10:12:00.000000,48454,52444,39495.323
21182,2023-12-19 00:00:00.000000,48454,52444,39495.323
21183,2023-12-20 10:00:00.000000,48454,52474,39498.306
21184,2023-12-21 09:30:00.000000,48454,52490,39499.295
21185,2023-12-22 00:00:00.000000,48454,52490,39499.295
21186,2023-12-23 11:50:00.000000,48454,52523,39500.903
21187,2023-12-24 00:00:00.000000,48454,52523,39500.903
21188,2023-12-25 11:45:00.000000,48454,52555,39502.764
21189,2023-12-26 09:30:00.000000,48454,52563,39505.422
21190,2023-12-27 10:15:00.000000,48454,52577,39506.312
21191,2023-12-28 00:00:00.000000,48454,52577,39506.312
21192,2023-12-29 11:15:00.000000,48454,52603,39507.799
21193,2023-12-30 00:00:00.000000,48454,52624,39510.044
21194,2023-12-31 11:20:00.000000,48454,52638,39511.044
21195,2024-01-01 07:00:00.000000,48454,52638,39511.044
21196,2024-01-02 10:00:00.000000,48454,52650,39511.618
21197,2024-01-03 10:00:00.000000,48454,52662,39512.699
21198,2024-01-04 10:45:00.000000,48454,52673,39514.283
21199,2024-01-05 16:45:00.000000,48454,52682,39514.692
21200,2024-01-06 11:00:00.000000,48454,52696,39515.402
21262,2024-01-07 12:28:00.000000,48454,52711,39517.212
21263,2024-01-08 00:00:00.000000,48454,52720,39518.159
