id,production_date,panel_serial_nbr,energy_produced
1,2023-08-25,482303052269,1.1
2,2023-08-25,482303052299,1.21
3,2023-08-25,482303052413,1.03
4,2023-08-25,482303052483,1.1
5,2023-08-25,482303052487,1.2
6,2023-08-25,482303052489,1.05
7,2023-08-25,482303052497,1.18
8,2023-08-25,482303052574,1.12
9,2023-08-25,482303052582,1.19
10,2023-08-25,482303052599,1.21
11,2023-08-24,482303052269,0.553
12,2023-08-24,482303052299,0.655
13,2023-08-24,482303052413,0.629
14,2023-08-24,482303052483,0.548
15,2023-08-24,482303052487,0.649
16,2023-08-24,482303052489,0.637
17,2023-08-24,482303052497,0.682
18,2023-08-24,482303052574,0.563
19,2023-08-24,482303052582,0.683
20,2023-08-24,482303052599,0.654
31,2023-08-23,482303052269,2.22
32,2023-08-23,482303052299,2.3
33,2023-08-23,482303052413,1.55
34,2023-08-23,482303052483,2.22
35,2023-08-23,482303052487,2.28
36,2023-08-23,482303052489,1.57
37,2023-08-23,482303052497,2.07
38,2023-08-23,482303052574,2.23
39,2023-08-23,482303052582,2.09
40,2023-08-23,482303052599,2.28
61,2023-08-22,482303052269,1.84
62,2023-08-22,482303052299,1.97
63,2023-08-22,482303052413,1.46
64,2023-08-22,482303052483,1.84
65,2023-08-22,482303052487,1.96
66,2023-08-22,482303052489,1.48
67,2023-08-22,482303052497,1.84
68,2023-08-22,482303052574,1.84
69,2023-08-22,482303052582,1.84
70,2023-08-22,482303052599,1.95
101,2023-08-21,482303052269,2.26
102,2023-08-21,482303052299,2.45
103,2023-08-21,482303052413,1.79
104,2023-08-21,482303052483,2.35
105,2023-08-21,482303052487,2.44
106,2023-08-21,482303052489,1.82
107,2023-08-21,482303052497,2.28
108,2023-08-21,482303052574,2.34
109,2023-08-21,482303052582,2.3
110,2023-08-21,482303052599,2.44
151,2023-08-20,482303052269,2.24
152,2023-08-20,482303052299,2.44
153,2023-08-20,482303052413,1.82
154,2023-08-20,482303052483,2.33
155,2023-08-20,482303052487,2.43
156,2023-08-20,482303052489,1.86
157,2023-08-20,482303052497,2.3
158,2023-08-20,482303052574,2.32
159,2023-08-20,482303052582,2.33
160,2023-08-20,482303052599,2.43
211,2023-08-19,482303052269,1.31
212,2023-08-19,482303052299,1.42
213,2023-08-19,482303052413,1.11
214,2023-08-19,482303052483,1.3
215,2023-08-19,482303052487,1.4
216,2023-08-19,482303052489,1.12
217,2023-08-19,482303052497,1.34
218,2023-08-19,482303052574,1.31
219,2023-08-19,482303052582,1.34
220,2023-08-19,482303052599,1.41
281,2023-08-18,482303052269,1.46
282,2023-08-18,482303052299,1.59
283,2023-08-18,482303052413,1.31
284,2023-08-18,482303052483,1.46
285,2023-08-18,482303052487,1.58
286,2023-08-18,482303052489,1.32
287,2023-08-18,482303052497,1.55
288,2023-08-18,482303052574,1.48
289,2023-08-18,482303052582,1.54
290,2023-08-18,482303052599,1.58
361,2023-08-17,482303052269,1.31
362,2023-08-17,482303052299,1.45
363,2023-08-17,482303052413,1.33
364,2023-08-17,482303052483,1.34
365,2023-08-17,482303052487,1.45
366,2023-08-17,482303052489,1.35
367,2023-08-17,482303052497,1.48
368,2023-08-17,482303052574,1.36
369,2023-08-17,482303052582,1.49
370,2023-08-17,482303052599,1.45
451,2023-08-16,482303052269,2.08
452,2023-08-16,482303052299,2.28
453,2023-08-16,482303052413,1.78
454,2023-08-16,482303052483,2.16
455,2023-08-16,482303052487,2.27
456,2023-08-16,482303052489,1.81
457,2023-08-16,482303052497,2.19
458,2023-08-16,482303052574,2.16
459,2023-08-16,482303052582,2.19
460,2023-08-16,482303052599,2.28
551,2023-08-15,482303052269,1.66
552,2023-08-15,482303052299,1.78
553,2023-08-15,482303052413,1.34
554,2023-08-15,482303052483,1.67
555,2023-08-15,482303052487,1.76
556,2023-08-15,482303052489,1.34
557,2023-08-15,482303052497,1.67
558,2023-08-15,482303052574,1.67
559,2023-08-15,482303052582,1.67
560,2023-08-15,482303052599,1.76
661,2023-08-14,482303052269,1.94
662,2023-08-14,482303052299,2.11
663,2023-08-14,482303052413,1.69
664,2023-08-14,482303052483,2.01
665,2023-08-14,482303052487,2.1
666,2023-08-14,482303052489,1.71
667,2023-08-14,482303052497,2.04
668,2023-08-14,482303052574,2
669,2023-08-14,482303052582,2.04
670,2023-08-14,482303052599,2.1
781,2023-08-13,482303052269,1.31
782,2023-08-13,482303052299,1.46
783,2023-08-13,482303052413,1.27
784,2023-08-13,482303052483,1.3
785,2023-08-13,482303052487,1.45
786,2023-08-13,482303052489,1.29
787,2023-08-13,482303052497,1.45
788,2023-08-13,482303052574,1.32
789,2023-08-13,482303052582,1.45
790,2023-08-13,482303052599,1.46
911,2023-08-12,482303052269,2.06
912,2023-08-12,482303052299,2.11
913,2023-08-12,482303052413,1.52
914,2023-08-12,482303052483,2.06
915,2023-08-12,482303052487,2.1
916,2023-08-12,482303052489,1.53
917,2023-08-12,482303052497,1.98
918,2023-08-12,482303052574,2.05
919,2023-08-12,482303052582,1.97
920,2023-08-12,482303052599,2.1
1051,2023-08-11,482303052269,1.53
1052,2023-08-11,482303052299,1.73
1053,2023-08-11,482303052413,1.59
1054,2023-08-11,482303052483,1.56
1055,2023-08-11,482303052487,1.73
1056,2023-08-11,482303052489,1.63
1057,2023-08-11,482303052497,1.76
1058,2023-08-11,482303052574,1.57
1059,2023-08-11,482303052582,1.78
1060,2023-08-11,482303052599,1.74
1201,2023-08-10,482303052269,1.42
